frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.004817356704734266,0.001468327854938076,0.000000023452090840490653,0.00011166511706345762,7468,0.0013986879622070046,0.0013986879622070046,0.3000416683088822,0.4453125,0
2,0.00870514934649691,0.0025057882808225494,0.00000019345566300919793,0.0003616751246667441,7512,0.0027974211958647303,0.0027974211958647303,0.3001352844163541,0.4453125,0
3,0.010797632625326514,0.003057191707888268,0.0000007409057434504697,0.0009046871873513156,7736,0.00419626340727477,0.00419626340727477,0.3003141371442032,0.4453125,0
4,0.01155686000129208,0.0032468113671377304,0.0000020022874658203582,0.001989776788262301,8008,0.00559525529495468,0.00559525529495468,0.3006046333701096,0.4453125,0
5,0.011583442566916347,0.0032539579736312278,0.000004400190990777021,0.0034798293094376056,8184,0.0069943841555644625,0.0069943841555644625,0.30103366489510713,0.4453125,0
6,0.011296160228084773,0.0031911753695707066,0.000008571724791575237,0.005480212782342969,8412,0.00839368945884242,0.00839368945884242,0.30162974354772154,0.4453125,0
7,0.010925709502771497,0.0031182546995200335,0.00001519934034332555,0.007864172890348776,8596,0.0097932722366917,0.0097932722366917,0.30242431760162036,0.4453125,0
8,0.010573565668892115,0.003055907721702641,0.00002503398438333352,0.010695497287352352,8748,0.011193170417153035,0.011193170417153035,0.30344566388847666,0.4453125,0
9,0.010271742416080087,0.0030289391322774676,0.00003919535246882459,0.013596618266533474,8928,0.012593455997576303,0.012593455997576303,0.3047231263807283,0.4453125,0
10,0.010014207975473255,0.0030489723161879036,0.000058894985606780614,0.017241006799456594,9148,0.013994970840407689,0.013994970840407689,0.30628991189862076,0.4453125,0
11,0.009787730406969786,0.0031042947529398143,0.0000853941044747392,0.02151970473314802,9428,0.015397995675400875,0.015397995675400875,0.30818916297147,0.4609375,0
12,0.009558372548781335,0.003221141046411703,0.0001203556994518842,0.026365678101436203,9692,0.016803544656246235,0.016803544656246235,0.3104572451034747,0.4609375,0
