frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.0004987729116692208,0.0001453150301195969,0.000000013784534767344122,0.00006675911760443069,736,0.0014043081694752177,0.0014043081694752177,0.29991996519420583,0.453125,0
2,0.0007315612165257335,0.00022683437165301308,0.0000001220441262245311,0.00021439369547285897,748,0.0028086599650021912,0.0028086599650021912,0.30000336569747643,0.453125,0
3,0.0008105628076009452,0.0002676824477115126,0.0000004823553059067346,0.0004283480502471538,748,0.004213106077220494,0.004213106077220494,0.30016410628341983,0.453125,0
4,0.0008304521470563486,0.0002751943799713014,0.0000013938987201048486,0.0009887144288411524,796,0.005617717417560964,0.005617717417560964,0.3004273944103328,0.453125,0
5,0.0008338155676028691,0.00027379300618402626,0.0000032025133397431838,0.0019716319297799476,840,0.007022397941960989,0.007022397941960989,0.30081653631665295,0.453125,0
6,0.0008359814455616288,0.0002721326606876765,0.000006345417952526264,0.003113342394894166,872,0.008427200885904186,0.008427200885904186,0.30135852282534736,0.453125,0
7,0.0008418898141826503,0.0002741387170635233,0.000011379939708478453,0.0044851982444294655,892,0.009832276496210527,0.009832276496210527,0.302081663014056,0.453125,0
8,0.0008531511848559603,0.00027480312988187804,0.0000193009909498455,0.006765998366833932,940,0.011237761994188298,0.011237761994188298,0.30299874124890736,0.453125,0
9,0.0008677925434312783,0.00028105876781983586,0.00003049047136663438,0.009621743065913863,976,0.012643868564721206,0.012643868564721206,0.3041495884218047,0.453125,0
10,0.0008881476314854808,0.0002922133587497816,0.00004597769136700875,0.01233062589479184,1000,0.014049366725144218,0.014049366725144218,0.3055556817488498,0.453125,0
11,0.0009132346531259827,0.0003007482146991223,0.00006809196940786196,0.016657321284700714,1068,0.015455442356988026,0.015455442356988026,0.30725093361547506,0.453125,0
12,0.0009425989628653042,0.0003185957929066031,0.00009626488964531251,0.02070660444016899,1100,0.01685893054289694,0.01685893054289694,0.3092183102105359,0.453125,0
13,0.0009722111572045833,0.0003345308188970487,0.00013027898344397163,0.02487026597479536,1108,0.018264657162387322,0.018264657162387322,0.3115187957140565,0.453125,0
14,0.001002722536213696,0.0003570982319168677,0.00017664321842295446,0.03039767648477975,1160,0.01966628612412072,0.01966628612412072,0.31414480653823745,0.453125,0
15,0.0010395461722509935,0.00038013061184577756,0.00023311163492596576,0.03626518393205962,1204,0.021063381933452665,0.021063381933452665,0.31714806386312666,0.453125,0
16,0.0010709779962780885,0.00040176459106379923,0.0003020070925061619,0.04290305591935147,1260,0.022460400820409485,0.022460400820409485,0.3205677755561776,0.453125,0
17,0.0010868468452827074,0.0004289959540820427,0.0003873475168894535,0.05029700088596462,1296,0.023855442813891965,0.023855442813891965,0.3244503640148453,0.484375,0
18,0.0010836664732778445,0.0004548558557084059,0.000490608658627147,0.05892302054032574,1340,0.02524916498436826,0.02524916498436826,0.3288070338659067,0.484375,0
19,0.001076309992640745,0.0004826351728623901,0.0006089134909172384,0.06813301340712827,1388,0.026642993496312387,0.026642993496312387,0.3336874844642536,0.484375,0
