frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.004915677127428353,0.0011677642043761058,0.000004976395957763047,0.00008564335123671572,758,0.0014044321023219328,0.0014044321023219328,0.29992713011234523,0.453125,0
2,0.03250395436771214,0.008734741462561015,0.000019706272721764023,0.0004585105136703494,848,0.0028090981371373365,0.0028090981371373365,0.3000169875648849,0.453125,0
3,0.05646614637225866,0.015998794707765985,0.00003432832395427,0.0009949900671283375,868,0.004214210954097185,0.004214210954097185,0.30018189484504976,0.453125,0
4,0.06386103061959147,0.01993079516906499,0.00004274920484281981,0.0019727809611648317,932,0.005620047273698094,0.005620047273698094,0.30045170061625787,0.453125,0
5,0.06326174642890692,0.01790489171652672,0.00004079910112828757,0.0032554785102442414,976,0.00702623296026486,0.00702623296026486,0.3008526882956031,0.453125,0
6,0.04496060265228152,0.01262945023411403,0.00003307536786007,0.0047413679562917175,998,0.008432395325429108,0.008432395325429108,0.30141411088236364,0.453125,0
7,0.022793885320425034,0.006528555945820221,0.00002737334239168195,0.0068036868462844815,1036,0.009838141696815678,0.009838141696815678,0.30215804885446224,0.453125,0
8,0.002596787642687559,0.0009701105755138325,0.000027802616404568852,0.009281827757315573,1078,0.011243546446444347,0.011243546446444347,0.30311560238600826,0.453125,0
9,0.017729287617839873,0.005354530380257718,0.00003616618523399266,0.012362976976362884,1120,0.012648101723881778,0.012648101723881778,0.3043017683987173,0.453125,0
10,0.030334761133417487,0.009144991322396415,0.00005141165366312495,0.01588821125486428,1146,0.014051534463140666,0.014051534463140666,0.3057397461592259,0.453125,0
11,0.03583624423481524,0.010859782546529338,0.00007382668656004357,0.019833400371227362,1178,0.015454075644785582,0.015454075644785582,0.30745443034826103,0.453125,0
12,0.03260940732434392,0.010573792963712896,0.0001039804361215375,0.023729724201116107,1203,0.01685583824415126,0.01685583824415126,0.3094645230005642,0.453125,0
13,0.030191415920853615,0.009310130786912243,0.0001447857869167839,0.028309555608444403,1236,0.018255894368970054,0.018255894368970054,0.31177898248466007,0.453125,0
14,0.02542737126350403,0.008258204697585215,0.00019830634200785835,0.03241220701603423,1250,0.019652575615929663,0.019652575615929663,0.3144258691046662,0.453125,0
15,0.019962015096098185,0.00907284514321396,0.0002712810160922304,0.036901959848231206,1294,0.021045052175435407,0.021045052175435407,0.31747658275198415,0.453125,0
16,0.01923077553510666,0.01187637339235184,0.00035874431702776003,0.04207614671303116,1318,0.02243517561213656,0.02243517561213656,0.3209601308840608,0.453125,0
17,0.032107035629451275,0.015226855445368776,0.0004663081566012491,0.04860269201387304,1360,0.023824278421022953,0.023824278421022953,0.324919194234757,0.484375,0
18,0.04121658462099731,0.01831585197719533,0.0005922576935020813,0.05513522737793746,1408,0.02520649598546349,0.02520649598546349,0.32936907063623655,0.484375,0
19,0.04616301064379513,0.020588522267442507,0.0007323705825854711,0.06278987757652897,1446,0.02658308891805092,0.02658308891805092,0.3343451696938529,0.484375,0
20,0.047264543594792485,0.02223167487972934,0.000889013468320768,0.06945433972507128,1478,0.027964172840142194,0.027964172840142194,0.3399181013744192,0.484375,0
21,0.04686893383041024,0.023347746991524768,0.0010690524441938176,0.07867765969760473,1536,0.029354677955881592,0.029354677955881592,0.3461011153171195,0.484375,0
22,0.042459502816200256,0.02412877704721606,0.001282151575915171,0.0912314393677765,1608,0.03075692295813247,0.03075692295813247,0.35292367606804326,0.515625,0
23,0.0373826187569648,0.024870202904577098,0.0015114308538496954,0.10184886030226377,1664,0.032171154222160776,0.032171154222160776,0.3603803859062344,0.515625,0
24,0.040146066108718514,0.02577221481379216,0.0017851004278319751,0.11684375604480042,1744,0.03359694883532406,0.03359694883532406,0.36845592291777995,0.515625,0
25,0.04627385688945651,0.026993116192233685,0.0020941937524794926,0.12948348695256143,1814,0.035034713276119143,0.035034713276119143,0.3771501029597182,0.515625,0
26,0.05146821471862495,0.028588462140572635,0.002449604449270018,0.14491066660473978,1876,0.03648067274743949,0.03648067274743949,0.38644484792144534,0.546875,0
27,0.054295957554131746,0.030596173228091904,0.0028538896290877004,0.16007018243235735,1944,0.03793021527255402,0.03793021527255402,0.3963187662449148,0.546875,0
28,0.05781561846379191,0.03299235671418348,0.003322334684521796,0.1747973764396808,2030,0.03937849307229436,0.03937849307229436,0.4067338410988639,0.546875,0
29,0.06085431994870305,0.035850685143143164,0.0038464160682647325,0.19338063066785108,2116,0.0408201016777936,0.0408201016777936,0.41766267369680365,0.578125,0
30,0.06367458403110504,0.03909177579778721,0.004388357768905188,0.20605548948194058,2162,0.0422507480149019,0.0422507480149019,0.4290688250530621,0.578125,0
31,0.06667697802186012,0.04255167749883088,0.0050044744997707075,0.22159918876461546,2241,0.043666287660631006,0.043666287660631006,0.44090986844651586,0.609375,0
32,0.07005663774907589,0.046197707570489854,0.005693107463127168,0.2394479109321323,2338,0.045062345144125444,0.045062345144125444,0.45316436250270187,0.609375,0
33,0.07446799799799919,0.04990099629253094,0.006454040357774802,0.2613817485111234,2444,0.04644680212199957,0.04644680212199957,0.46578603385961176,0.640625,0
34,0.07991730840876698,0.05356907783402574,0.007177373236339459,0.27422208114421665,2511,0.04780393934506887,0.04780393934506887,0.4787093366493043,0.640625,0
35,0.08577320817857981,0.057184777645131024,0.00799445646744128,0.292001159526449,2602,0.04911893507336276,0.04911893507336276,0.4918225882050386,0.671875,0
36,0.09194676764309406,0.06074186457908461,0.00879374369662062,0.3047440452767513,2682,0.05043323012523672,0.05043323012523672,0.5051446512609613,0.671875,0
37,0.09894559159874916,0.06429204315434316,0.009736773404410946,0.32177204119075187,2791,0.05170639079306461,0.05170639079306461,0.5185325592489518,0.703125,0
38,0.10721209552139044,0.0679467993571064,0.010574637902371007,0.329680838994646,2862,0.052964276659512435,0.052964276659512435,0.5319725222511223,0.703125,0
39,0.11613806057721376,0.07178901260745978,0.011723887400242411,0.35325887541303447,3034,0.05422786484231064,0.05422786484231064,0.5454067500982062,0.734375,0
40,0.12549143191426992,0.07583843041032902,0.012772097422476609,0.3628861299673513,3139,0.05547171087372865,0.05547171087372865,0.5587381343949072,0.765625,0
