frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_inside,centroid_m,top_m,outflow_rate
1,0.000005051522748544812,0.0000011747040359228296,0.000000017420891227308133,0.00010858826728278276,7452,0.0013986813475731746,0.0013986813475731746,0.30003906473008146,0.4453125,0
2,0.000005138082826761092,0.0000011795352134824285,0.0000001575150218695268,0.0003616646154303139,7512,0.0027973630785397886,0.0027973630785397886,0.300127544405974,0.4453125,0
3,0.000005302019417285919,0.0000012064681034576011,0.0000006418464484630357,0.0008767239435351966,7712,0.004196044368474269,0.004196044368474269,0.3002991306523642,0.4453125,0
4,0.000005990033969283104,0.0000012286664643497967,0.0000018132250026592287,0.0019901935301812534,8008,0.0055947260117414,0.0055947260117414,0.3005812044011049,0.4453125,0
5,0.000005965158038634399,0.0000012634968815491406,0.000004098146273349485,0.003268382837034194,8112,0.00699340745956144,0.00699340745956144,0.3010014298406105,0.4453125,0
6,0.000006044137649041659,0.0000012758894379301337,0.000008136431783790129,0.005394653196891701,8380,0.008392088376053465,0.008392088376053465,0.30158870375142777,0.4453125,0
7,0.0000075914393846687744,0.0000013282855080287803,0.000014621925349382092,0.007829766522195575,8580,0.009790769720216854,0.009790769720216854,0.3023741928352326,0.4453125,0
8,0.000007026828825473785,0.000001402115020852513,0.000024251061405844706,0.010429394164101614,8694,0.011189450343246175,0.011189450343246175,0.30338733085676434,0.4453125,0
9,0.000008525046723661944,0.0000014685538531686405,0.00003827747844353613,0.013504388589636237,8908,0.012588132210978667,0.012588132210978667,0.3046562237652918,0.4453125,0
10,0.000008817271009320393,0.000001611096010313504,0.00005776512423743857,0.017205172534645565,9136,0.01398681359405381,0.01398681359405381,0.3062136448393136,0.4453125,0
11,0.000009085285455512349,0.0000017726241931785573,0.00008387251751234461,0.02129231384587863,9348,0.015385494545427779,0.015385494545427779,0.30810317748954474,0.4609375,0
12,0.000011035241186618805,0.0000019827358258727374,0.00011866968427203945,0.026310542465865713,9684,0.016784178433756607,0.016784178433756607,0.3103601316542111,0.4609375,0
13,0.000011327210813760757,0.0000022480564701045925,0.00016274613136521183,0.0315837554577389,9924,0.01818286040407887,0.01818286040407887,0.31300618950773795,0.4609375,0
14,0.000012371959201118443,0.00000257291998981895,0.00021878943674014245,0.037817052789683996,10192,0.01958154205392359,0.01958154205392359,0.316097158077533,0.4609375,0
15,0.000015204090232145973,0.0000029040395863747887,0.000289557480840906,0.045375958101179815,10564,0.020980224013145816,0.020980224013145816,0.3196762514444936,0.4609375,0
16,0.000016297544789267704,0.0000033051383069414413,0.00037604310195809713,0.05405996132168753,10932,0.022378905198011716,0.022378905198011716,0.3238032043951792,0.4765625,0
17,0.00002263149872305803,0.0000037669736779036467,0.00048090392649297996,0.06389949769372215,11284,0.023777584369953746,0.023777584369953746,0.32851576117331394,0.4765625,0
18,0.00002105929161189124,0.0000043475198407134485,0.0006049465901658757,0.0729512255591858,11536,0.025176269420937904,0.025176269420937904,0.3338449295145177,0.4765625,0
19,0.000026314461138099432,0.00000477559490817989,0.0007542993539605911,0.08400761689944361,12000,0.02657495301915283,0.02657495301915283,0.3397970506863442,0.4921875,0
20,0.000030580935344914906,0.000005307086739465916,0.0009271913467287151,0.09673150577771653,12408,0.02797363494700689,0.02797363494700689,0.34636101009656156,0.4921875,0
21,0.00003941200156987179,0.000006110303227924584,0.0011361373236076177,0.11385093219440237,12960,0.02937231855035549,0.02937231855035549,0.3535314427067106,0.5078125,0
22,0.000040133241782314144,0.0000067421641982899745,0.0013723592344545,0.12983875590121424,13436,0.030771002034689476,0.030771002034689476,0.3613143295767991,0.5078125,0
23,0.000049270653107669204,0.000007817729246338939,0.0016410818870943123,0.14557673106432026,13896,0.03216968758102746,0.03216968758102746,0.36970643666179953,0.5234375,0
24,0.000051714881919906475,0.00000861591023934615,0.0019422769812013413,0.16131515327748183,14428,0.03356836927878354,0.03356836927878354,0.37870048320453226,0.5234375,0
25,0.00006087188739911653,0.000010076898575107383,0.002280280796916614,0.18040917474393883,14932,0.03496704974802517,0.03496704974802517,0.38827842463240453,0.5390625,0
26,0.0000815228559076786,0.000010919446158672849,0.0026548300409648877,0.19672328787938137,15404,0.03636572919478271,0.03636572919478271,0.3984209231849907,0.5546875,0
27,0.00007129304140107706,0.000012427853047094618,0.0030600049184719255,0.21346514991260265,15916,0.037764409187909125,0.037764409187909125,0.40912177025345975,0.5546875,0
28,0.00007563242252217606,0.000014080405909288155,0.003506046414889206,0.23282582468868726,16528,0.039163094406886464,0.039163094406886464,0.4203472401063298,0.5703125,0
29,0.00009713927283883095,0.00001568841451239994,0.003970783053211099,0.24539364418229156,16944,0.040561773489129524,0.040561773489129524,0.4320594358421182,0.5859375,0
30,0.00010462795216881204,0.000017187149748356053,0.004467190348920535,0.2621485922494169,17448,0.04196045758698879,0.04196045758698879,0.44422680021689925,0.6015625,0
31,0.00011110305786132813,0.00002024845894532975,0.004992589918699982,0.2819330129178847,18032,0.043359137993480644,0.043359137993480644,0.4567575336679786,0.6171875,0
32,0.00011873245239257813,0.000021377267990033623,0.005518916714702581,0.29599664535856746,18480,0.04475782045170436,0.04475782045170436,0.4695600063478598,0.6328125,0
33,0.00013637542724609375,0.000023893720468321988,0.0060643790061222875,0.3157946865478252,19060,0.04615650400039576,0.04615650400039576,0.4825322757497194,0.6484375,0
34,0.00015401840209960938,0.000025835233655310716,0.006612232197220903,0.33227354781655044,19576,0.04755518610657044,0.04755518610657044,0.4955568381115315,0.6640625,0
35,0.00018596649169921875,0.00002666792183971837,0.007189525253873803,0.3519844717640889,20224,0.0489538691346969,0.0489538691346969,0.5085350605664779,0.6796875,0
36,0.000186920166015625,0.000026959017339846583,0.007716566917712685,0.3646525585348203,20692,0.05035255302840045,0.05035255302840045,0.5213695183426008,0.6953125,0
37,0.00020503997802734375,0.00002886513138709135,0.008238814716819249,0.3794676356197169,21148,0.05175123432974248,0.05175123432974248,0.5339787190657345,0.7109375,0
38,0.00021791458129882813,0.00003004560565932371,0.008740632444972979,0.39502735999038896,21624,0.05314991982927847,0.05314991982927847,0.546294429516743,0.7265625,0
39,0.0002205371856689453,0.000030086084657392688,0.009196776922148266,0.40799245167055587,22008,0.054548600401267106,0.054548600401267106,0.5582733855844896,0.7421875,0
40,0.00023126602172851563,0.000031981105416773615,0.009505195042446783,0.41788830225698187,22192,0.05594728531564328,0.05594728531564328,0.5698942768570872,0.7578125,0
41,0.00026798248291015625,0.00003387997040355141,0.009891997595777802,0.43215660218693114,22580,0.057345969785276577,0.057345969785276577,0.5811657414595147,0.7734375,0
42,0.00025004148483276367,0.0000350419827279506,0.010247950051413449,0.45085549564618016,22992,0.05874464453108536,0.05874464453108536,0.5920919692242683,0.8046875,0
43,0.0002510547637939453,0.00003593631203141447,0.010610387816929143,0.4673309738103182,23388,0.06014333138725798,0.06014333138725798,0.6026966450401333,0.8203125,0
44,0.00023102760314941406,0.000034454842125403034,0.010899694654299375,0.4809200863821353,23724,0.061542019414348885,0.061542019414348885,0.612995270904372,0.8359375,0
45,0.0002474784851074219,0.0000365158697663154,0.01119082907952413,0.4975871568030132,24012,0.06294070560532358,0.06294070560532358,0.622990570882409,0.8515625,0
46,0.0002372634771745652,0.00003570726081348673,0.011562024261914064,0.5132019864054204,24388,0.06433939067642827,0.06433939067642827,0.632747276655309,0.8828125,0
47,0.00022453069686889648,0.000037193863658410035,0.012010904948519403,0.531665504691516,24796,0.065738061606638,0.065738061606638,0.6424201760568441,0.8984375,0
48,0.0002422332763671875,0.00003780338491642828,0.012224495867253838,0.5479975774691727,25168,0.067136748411864,0.067136748411864,0.6520660109047969,0.9140625,0
49,0.0002040266990661621,0.000036778725822705106,0.012551808062215293,0.5666659553680813,25600,0.06853542449794371,0.06853542449794371,0.661739531645508,0.9296875,0
50,0.00023543834686279297,0.000036394616692578755,0.012929134394460175,0.5823497496315816,26060,0.06993410187392159,0.06993410187392159,0.671452877869631,0.9609375,0
51,0.0002161534284823574,0.000035587966647231765,0.013190175515125626,0.5977609912091659,26580,0.07133278197494236,0.07133278197494236,0.681242321167156,0.9765625,0
52,0.00021386146545410156,0.00003606105846035021,0.013597371763868629,0.6157297354932711,27186,0.0727314636780877,0.0727314636780877,0.6911501197154672,0.9921875,0
53,0.00021147727966308594,0.0000348690604691532,0.014135490114599573,0.6380731029744555,27960,0.074130147064653,0.074130147064653,0.7011979957874891,1.0078125,0
54,0.00019252300262451172,0.00003538639293779666,0.014841205891554516,0.6646947869620826,28952,0.07552883213116399,0.07552883213116399,0.7114019218722903,1.0390625,0
55,0.0001876354217529297,0.00003460487242158916,0.015288287096968197,0.6847475218803414,29644,0.0769275115919153,0.0769275115919153,0.7218032655609493,1.0546875,0
56,0.0002042690321104601,0.00003356525460860454,0.015993685758235423,0.7092463614234988,30596,0.07832620020211442,0.07832620020211442,0.7323842001069496,1.0703125,0
57,0.00023466716811526567,0.000034815978044786,0.01655766472601709,0.7368703894972862,31582,0.07972487546984558,0.07972487546984558,0.7431511691280892,1.0859375,0
58,0.0003083722258452326,0.00003404558539688917,0.016911794320375685,0.7620756269858449,32443,0.08112356845563462,0.08112356845563462,0.7541038450141168,1.1171875,0
59,0.000311225070618093,0.00003576538019145415,0.01740190337676087,0.7877529896214823,33340,0.08252223974145473,0.08252223974145473,0.7652778085897697,1.1328125,0
60,0.0003735255086212419,0.000036512787878145164,0.018035319878753994,0.8214024602056652,34380,0.08392093114476852,0.08392093114476852,0.7766465954456395,1.1484375,0
61,0.0003844340390060097,0.00003907491208516581,0.018646242929243086,0.8527631823791059,35296,0.0839209214216052,0.0839209214216052,0.796117239716283,1.1640625,0
62,0.0004130147863179445,0.00003920567181873511,0.019298367513090157,0.8868098861853201,36332,0.08392092001249998,0.08392092001249998,0.8160024579271665,1.1953125,0
63,0.0005034552305005491,0.00004240690124708473,0.019971950467700218,0.9210623977080706,37170,0.08392092012751945,0.08392092012751945,0.8363844253820253,1.2265625,0
64,0.0005041641416028142,0.00004404257551363895,0.020643578063279096,0.9532171307387253,37952,0.08392092371838303,0.08392092371838303,0.8572380601294719,1.2421875,0
65,0.0006103214400354773,0.0000464684022966335,0.02118417898642404,0.9821953504669981,38476,0.08392092167371736,0.08392092167371736,0.8784863700389491,1.2734375,0
66,0.0006283544062171131,0.00004721141705986644,0.021767566368589633,1.0232346470279166,39260,0.08392093078408654,0.08392093078408654,0.9001862859484363,1.3046875,0
67,0.0007516841214965098,0.00005028287175006273,0.02252790841171115,1.0593318294509202,40024,0.08392093262115868,0.08392093262115868,0.9223792824062051,1.3359375,0
68,0.0007639306713826954,0.000051610150948710897,0.023366303556256462,1.0995899937663778,40715,0.08392092803630237,0.08392092803630237,0.9449880167112393,1.3671875,0
69,0.0008960552513599396,0.00005432510894069441,0.023999674587529676,1.1306189949946688,41158,0.08392092682553827,0.08392092682553827,0.9679528416542617,1.3828125,0
70,0.0008990371716208756,0.00005429254375466492,0.024836436599268465,1.1674202586389324,41700,0.0839209249629238,0.0839209249629238,0.9912638700073234,1.4296875,0
71,0.001040989242028445,0.000056757269096208165,0.025397040277423608,1.1999442177016482,42060,0.08392092580102664,0.08392092580102664,1.0149776771317802,1.4609375,0
72,0.0010592888575047255,0.00005593185008445183,0.026162643907443862,1.2358519230857112,42568,0.08392092234844993,0.08392092234844993,1.0390952408351843,1.4921875,0
73,0.0011936594382859766,0.00005836162903483873,0.026904830622102856,1.2705154375480214,42964,0.08392092533662145,0.08392092533662145,1.0635485133414604,1.5234375,0
74,0.001178146805614233,0.00005876761883852355,0.027789791702813985,1.3038015399770189,43740,0.08392093222046182,0.08392093222046182,1.08832671642781,1.5546875,0
75,0.0012694083852693439,0.00006144932639954288,0.028450092665572586,1.3148504151252567,44082,0.08392092946687041,0.08392092946687041,1.1134042005288027,1.5859375,0
76,0.001307943370193243,0.00006171347040714754,0.029083309583633324,1.3498691345877725,44832,0.08392092162344304,0.08392092162344304,1.1387610328359117,1.6328125,0
77,0.0014513341011479497,0.00006352774736962824,0.02969380466093694,1.3683639124992082,45352,0.08392092877408695,0.08392092877408695,1.1643300091248303,1.6640625,0
78,0.0014782677753828466,0.00006443534011100649,0.030311904146778163,1.3865274237439025,45748,0.08392092404477511,0.08392092404477511,1.1901139657805357,1.6953125,0
79,0.0015321628889068961,0.00006576684210534609,0.03138470326959169,1.4199275759403933,46730,0.08392092434332565,0.08392092434332565,1.216080515578833,1.7421875,0
80,0.0017089024186134338,0.00006919191384885528,0.0318027994542952,1.4387267230028526,47616,0.08392093720696697,0.08392093720696697,1.2421987555611176,1.7734375,0
81,0.0016266723832814023,0.00007080969554618505,0.032220224727662124,1.4661199720407934,48484,0.08392094608498961,0.08392094608498961,1.268459402881998,1.8046875,0
82,0.0017025498527800664,0.00007629157595291151,0.03239860820439613,1.4834776212494958,49476,0.08392094128447847,0.08390404760578457,1.294931707273378,1.8515625,0.007935508891642568
83,0.0014201958547346294,0.00006782661042915113,0.03313255596773264,1.5099737094204124,50256,0.08392093870691883,0.08299959645740287,1.3206840079881481,1.8828125,0.03376751818549157
84,0.0011730194091796875,0.00007592297409056274,0.03365460655962204,1.5283835351837813,51114,0.08280968640652545,0.08164456258559263,1.3360117912192337,1.8984375,0.036027622445354665
85,0.001706434417201308,0.00007388381970866307,0.034191701626769204,1.5367903165705217,51876,0.08080700068021329,0.0795427727181725,1.3496777002806413,1.9140625,0.04634079733021013
86,0.0008437348260486033,0.00004502399425351286,0.03330502700803138,1.5145902427941262,52264,0.07895846530686651,0.07745800687319973,1.3618458921411833,1.9140625,0.04998576570161547
87,0.0007959539070725441,0.00003594597488416583,0.0326212050548771,1.4873288317154014,52441,0.07677180326920825,0.07524233183081842,1.3714059831435856,1.9296875,0.051336466231809035
88,0.0008025702554732561,0.00003348033049364556,0.03214541081266082,1.467781112208364,52822,0.07451696976215329,0.072932066205521,1.3800890198969216,1.9296875,0.052339137341158214
89,0.0010238395334454253,0.00003397230535132267,0.031759299283903725,1.450934805245982,52889,0.07224171337561064,0.07069036467463712,1.3875502892674147,1.9296875,0.04847337617719407
90,0.0009953077824320644,0.00003720766134354062,0.03203631006652936,1.4449237358089106,53144,0.06999990757879676,0.06860866950276061,1.3948763944354108,1.9140625,0.04456073209765577
91,0.0008831024169921875,0.000034573759057822235,0.03142376808425262,1.407400702671719,52451,0.06801324999450838,0.06656868324061153,1.4035825440677392,1.9296875,0.0461044739431305
92,0.000760391354560852,0.00003535727999893255,0.030518054839710203,1.3744010255983732,51579,0.06609383733601261,0.06471871823568641,1.411178410709126,1.9140625,0.040358068647794114
93,0.0003562030615285039,0.00003494204562164391,0.03032355690201198,1.343569986064949,51021,0.06426648837748987,0.06299318887818833,1.4194218872706394,1.9140625,0.040064303879420164
94,0.0003381967544555664,0.00003449414486795992,0.02970126009662847,1.3113066386835255,50443,0.06263438053036269,0.06132540354264698,1.428100242646684,1.9140625,0.03922410852569779
95,0.0003604156954679638,0.00003461446622842,0.028439981781125133,1.269783818639645,49428,0.06097126615679166,0.05975855579983439,1.4357152033656402,1.9140625,0.03581686565910982
96,0.00036180397728458047,0.000035654455423191456,0.027538299307902667,1.24241216520332,49036,0.05939530891994466,0.05830172826252213,1.4436817265774988,1.8984375,0.03267576145050859
97,0.0003526788204908371,0.00003375505514785813,0.026117383334384313,1.2213228414994965,48802,0.05796913553476368,0.056979573472684134,1.4521864544768817,1.8984375,0.03018346838606279
98,0.0003371238708496094,0.00003471759587235247,0.02494846853866046,1.2037558101783097,48500,0.05667934957131789,0.05575661788232303,1.4611023573126942,1.8984375,0.02846904779698105
99,0.00034503103233873844,0.00003422955893092076,0.023977801514038253,1.1896823190545862,48350,0.05547116395962611,0.05458699767170074,1.469997366983327,1.8984375,0.028444186104933357
100,0.0003263559192419052,0.000034362950900633415,0.023187677018757066,1.178041194153798,48431,0.05431549728519828,0.0534326164561262,1.4784859313533507,1.8984375,0.0282196712704864
101,0.00032009114511311054,0.000033422579342583475,0.022267656113819777,1.1601152251774793,48543,0.05315060938223245,0.052301852328025804,1.4863944184174842,1.8984375,0.025579737898240928
102,0.0003332793712615967,0.00003265727923922538,0.021388937508912964,1.1568991916356213,48761,0.0520500928143653,0.05127170399263194,1.49441465285575,1.8828125,0.022505671105049627
103,0.0003073420375585556,0.000031441092770884696,0.020441564132926773,1.1499951370756432,48907,0.051083212535003836,0.05036443039329,1.5030800006813767,1.8984375,0.020884809031000356
104,0.0003211991861462593,0.00003155742787613339,0.019901650377110246,1.1677194015748749,49466,0.050228084312028985,0.04951821481267009,1.5121473618768448,1.8984375,0.020453822570949878
105,0.0003339373506605625,0.00003175137655822378,0.01930766063214213,1.1661836679974307,49574,0.04941818316641631,0.04868760019898645,1.5209683537612289,1.9140625,0.023131655619637998
106,0.00032101431861519814,0.00002859674091091196,0.018811202259449163,1.1702474261326252,49885,0.04862191654618841,0.04776152301082967,1.529207875489133,1.9140625,0.022716288690570987
107,0.000250830315053463,0.000026789260690344044,0.01809169396766829,1.166464986880685,49832,0.0477131976912583,0.04686086945082591,1.5360014861603783,1.9140625,0.020377125067181513
