frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_inside,centroid_m,top_m,outflow_rate
1,0.0000046888987412785355,0.0000011058694080404868,0.000023720528002133775,0.00010766348459348448,7462,0.0013986812017781787,0.0013986812017781787,0.300036657711565,0.4453125,0
2,0.000005123321898281574,0.0000011091367425345745,0.00009635004411583205,0.0005489185017901927,7890,0.0027973625113260022,0.0027973625113260022,0.3001207412626856,0.4453125,0
3,0.000004892994184046984,0.0000011045039909157873,0.0002199672697878884,0.0014103623916707623,8330,0.0041960441622674715,0.0041960441622674715,0.3002898551842198,0.4453125,0
4,0.000006402309068676004,0.0000012094640901898177,0.00039605281962061935,0.0026906701690553748,8772,0.00559472622796485,0.00559472622796485,0.30055982108381446,0.4453125,0
5,0.000006269572708106352,0.0000013049594929179654,0.0006213833150207235,0.004407487816292269,9152,0.006993407728756638,0.006993407728756638,0.30096049392719554,0.4453125,0
6,0.0000066766515374183655,0.0000014167357873767275,0.0008982697575693352,0.0067661376736205085,9540,0.008392089463135381,0.008392089463135381,0.3015175919283213,0.4453125,0
7,0.00000866240020513942,0.0000017026906198413508,0.0012266707791766627,0.009740950813133965,9932,0.009790770797187036,0.009790770797187036,0.30225230232648065,0.4453125,0
8,0.000010191762157774065,0.0000018192841231939767,0.0016138578531438292,0.0136139099231341,10378,0.011189451975054146,0.011189451975054146,0.303181514839127,0.4453125,0
9,0.000010511954315006733,0.0000019406767467309827,0.002074611392606547,0.018343491704083555,10926,0.012588132979595545,0.012588132979595545,0.30431202346231123,0.4453125,0
10,0.00001127470750361681,0.000002048565280835524,0.002599345477323404,0.023360926344134503,11492,0.013986814576648906,0.013986814576648906,0.30565583161357235,0.4453125,0
11,0.000014589130842068698,0.00000216223758170507,0.0031687409784111544,0.028472852839393287,11992,0.015385496234252548,0.015385496234252548,0.30721237023570347,0.4609375,0
12,0.00001355192716800957,0.000002228013359990679,0.003818922552127153,0.03368573065556534,12566,0.016784175686708893,0.016784175686708893,0.3089818476479948,0.4609375,0
13,0.000013706048775929958,0.00000226322928580076,0.004591051791877356,0.039470420421361056,13326,0.018182858428939092,0.018182858428939092,0.31095705634518306,0.4609375,0
14,0.000015359661119873635,0.0000023348607760539402,0.005466420283869273,0.04542818491374122,14160,0.019581539770031818,0.019581539770031818,0.3131446982085846,0.4609375,0
15,0.00001699104905128479,0.0000023745066019557725,0.0064324224827691295,0.05177221962465637,15024,0.020980224754667088,0.020980224754667088,0.31553803617107656,0.4609375,0
16,0.000017017126083374023,0.0000025275012147563046,0.007501565355012453,0.0584223966835199,15939,0.02237890631798683,0.02237890631798683,0.3181270534660861,0.4609375,0
17,0.000017404556274414063,0.0000027397154368601123,0.00863684033227211,0.06491717680296544,16822,0.023777589043670524,0.023777589043670524,0.3208956442675231,0.4609375,0
