frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.0002549886703491211,0.000040953087643041525,0.000007658459672136594,0.000000000964009610037651,5884,0.0013713837078626057,0.0013713837078626057,0.29986309109874826,0.4453125,0
2,0.0003420710563659668,0.00004117313908730797,0.00003572959049150133,0.0036636843170861047,6880,0.002742199621805167,0.002742199621805167,0.30040913882103587,0.4453125,0
3,0.0003158152103424072,0.0000402188314362579,0.00008511286803320793,0.01355312968681252,7552,0.004111758648243436,0.004111758648243436,0.3013927832019413,0.4453125,0
4,0.000287473201751709,0.000038731416631507,0.00015536280994429252,0.02396652474470036,8000,0.005479412957332281,0.005479412957332281,0.3028864772660413,0.4453125,0
5,0.00038790234611951746,0.00003830779746699697,0.0002522305395109931,0.036528223759980535,8540,0.006844991481615804,0.006844991481615804,0.3049729028048307,0.4453125,0
6,0.00033194394200108945,0.00003663625982516978,0.0003738321096369452,0.04897132921945108,9036,0.008209629837369429,0.008209629837369429,0.30773720095200824,0.4453125,0
7,0.00028234519049874507,0.00003499685903517797,0.0005290610152281807,0.06596782527094303,9680,0.009575064672941835,0.009575064672941835,0.3112601284327359,0.4609375,0
8,0.00023387838155031204,0.000034451992974953035,0.0007077040529096721,0.08754441669454065,10284,0.010943426010283962,0.010943426010283962,0.3156140037101903,0.4609375,0
9,0.002325438428670168,0.0002680503327957158,0.0009206267198261653,0.11018835764461629,11004,0.01232265716726334,0.01232265716726334,0.320794254610475,0.4609375,0
10,0.002464621386025101,0.00029200859741525123,0.0011598050207794065,0.1370667729318393,11632,0.013707827240431042,0.013707827240431042,0.32673653427776705,0.4765625,0
11,0.0003171563148498535,0.000044362115059985506,0.001425677148841748,0.1598325700035758,12188,0.015095175620207789,0.015095175620207789,0.3334035805081121,0.4765625,0
12,0.0003470182418823242,0.00005066721045909213,0.0017281812159841616,0.1850219663051678,12840,0.016494178532335497,0.016494178532335497,0.34072186735942184,0.4921875,0
13,0.00040902737237047404,0.000060309852915791354,0.0020654031306506625,0.20858039390229657,13524,0.01789062985746927,0.01789062985746927,0.34864530115357856,0.4921875,0
14,0.0005306365565047599,0.00007327246081704485,0.002435813242047697,0.2316450928362589,14184,0.019284486858355397,0.019284486858355397,0.3570487847518516,0.4921875,0
15,0.0006310367971309461,0.00008183582278998976,0.0028409841845277615,0.25217094243084265,14816,0.020687651580800718,0.020687651580800718,0.36599971860062275,0.5078125,0
16,0.0006624064408242702,0.00008589765841781797,0.0032767280523362426,0.2720707492139151,15408,0.022087218050612277,0.022087218050612277,0.37537869759014975,0.5078125,0
17,0.000630347800324671,0.00008345469171066808,0.0037563200439777863,0.29377397376441033,16196,0.02348308503772078,0.02348308503772078,0.38516228996183616,0.5234375,0
18,0.0005512237548828125,0.00008238314954192122,0.0042601809788165215,0.3142916617139288,16840,0.024875717496342424,0.024875717496342424,0.39528995590465016,0.5390625,0
19,0.0005265252475510351,0.00009589780314277817,0.004804837076979225,0.3359648845542108,17556,0.02626321881240908,0.02626321881240908,0.4057217942092658,0.5390625,0
20,0.0006644076856900938,0.00011359520190003982,0.005370258290260931,0.3571688816124024,18140,0.027653061662061187,0.027653061662061187,0.4163936004934641,0.5546875,0
21,0.000714769761543721,0.00011242284490758127,0.005977493639432766,0.3800151277194154,18872,0.029024983393549197,0.029024983393549197,0.4271922827715889,0.5546875,0
22,0.000723101562471129,0.00011299024989985661,0.006607225540251035,0.404280188310656,19588,0.030395078510064247,0.030395078510064247,0.4380645229889405,0.5703125,0
23,0.0008881239773472771,0.00013194529014601232,0.007249851582895715,0.42776693019169315,20256,0.03176611822587093,0.03176611822587093,0.44898723660437084,0.5859375,0
24,0.0009136199951171875,0.00015662678424780284,0.007911473721528244,0.45294659123667236,20980,0.033159015612514345,0.033159015612514345,0.4598184244991943,0.5859375,0
25,0.0010957717895507813,0.00016353195865474645,0.008570483685440033,0.47936555149873306,21650,0.03451713072594376,0.03451713072594376,0.47042820007537184,0.6015625,0
