frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_inside,centroid_m,top_m,outflow_rate
1,0.0002593994140625,0.00004003122617702351,0.000007969292909219167,0.0000000009871003071868625,5884,0.0013713837078626057,0.0013713837078626057,0.29986309109874826,0.4453125,0
2,0.0003520175814628601,0.00005106870947177172,0.00004563670550175351,0.004257458553787595,6872,0.0027422370220434233,0.0027422370220434233,0.3004239569960245,0.4453125,0
3,0.0003305971622467041,0.00004916344397966544,0.00012446834370063352,0.014615126886970104,7602,0.0041083236546225164,0.0041083236546225164,0.3013830061517267,0.4453125,0
4,0.0003013536334037781,0.00004800567952324101,0.0002461662031404584,0.027648415184755658,8242,0.005472259400537696,0.005472259400537696,0.302893752881056,0.4453125,0
5,0.00028127431869506836,0.00004618455805239794,0.00041030841406608395,0.041376204194840956,8842,0.0068378136623945445,0.0068378136623945445,0.30513069120277975,0.4453125,0
6,0.00027585774660110474,0.00004769951426797361,0.0006185720716912784,0.05614394546798335,9455,0.00820021604318397,0.00820021604318397,0.3079661142108256,0.4609375,0
7,0.00026535987854003906,0.00004563453286998043,0.0008740929330269439,0.07398650973208026,10125,0.009569563281139386,0.009569563281139386,0.3115593610852434,0.4609375,0
8,0.0002690553665161133,0.000045246098828310146,0.0011753202958929166,0.09454398455828097,10846,0.010943387169077164,0.010943387169077164,0.31582786894250015,0.4609375,0
9,0.00032415916211903095,0.00004673605828468745,0.001522097675149016,0.11566130527684351,11564,0.012326941125135542,0.012326941125135542,0.3207348740491888,0.4609375,0
10,0.0002754628658294678,0.00004456029276141625,0.001908318857433801,0.1369144723347321,12245,0.013716237714760294,0.013716237714760294,0.32621447361129247,0.4765625,0
11,0.0002513118088245392,0.00004436723238580535,0.0023435680381728853,0.15948299024075785,13029,0.015117388809958183,0.015117388809958183,0.33219082663126337,0.4765625,0
12,0.0003249160945415497,0.00004636670737020865,0.002824153581325891,0.18195254111075568,13831,0.016523842051245255,0.016523842051245255,0.338601747725387,0.4921875,0
13,0.0021554231643676758,0.0003268319119247072,0.0033456906663886115,0.2036275883972572,14640,0.017933258012763107,0.017933258012763107,0.3453898366487105,0.4921875,0
14,0.00041228532791137695,0.00004797899784816102,0.003916031944694686,0.22660754471396904,15533,0.01934445951195415,0.01934445951195415,0.3525264490146302,0.5078125,0
15,0.0004210472106933594,0.0000520642114195127,0.004530225669938539,0.24856294148526306,16430,0.020758244233975296,0.020758244233975296,0.35998528742706937,0.5078125,0
16,0.00041687488555908203,0.00005297906745817952,0.005186443483777044,0.2707874529240963,17354,0.022178133800911454,0.022178133800911454,0.3677459666213744,0.5234375,0
17,0.00036735832691192627,0.000052470129561265685,0.00588571763160978,0.2931474760471953,18316,0.02359547651254754,0.02359547651254754,0.3757527197310884,0.5234375,0
18,0.0004252195358276367,0.00005200735734382772,0.006629719151992156,0.31635077276426943,19327,0.025015671930813548,0.025015671930813548,0.3840115551284903,0.5390625,0
19,0.00046539306640625,0.00005252605094880741,0.007422996376221271,0.3413248650952704,20423,0.02643593682140918,0.02643593682140918,0.39248004460768154,0.5546875,0
