frame,divergence_max,divergence_rms,kinetic_energy,vorticity,measured_cells,mass,mass_below,centroid_m,top_m,outflow_rate
1,0.0007104873657226563,0.00005631333684821213,0.000009793325555224422,0.0000000014905811338705215,57560,0.0013744831494832965,0.0013744831494832965,0.30007069420352706,0.44921875,0
2,0.0007261287391884252,0.0000632352367884627,0.000045231734484259926,0.0054485436351857045,62424,0.002748552697817191,0.002748552697817191,0.30067851525270933,0.44921875,0
3,0.0006949742382857949,0.000059627287502480736,0.00011035133223686267,0.018936779158620222,66228,0.00412043641000075,0.00412043641000075,0.3018353347994037,0.44921875,0
4,0.0007221360137918964,0.00005580969490263324,0.0002076202196242047,0.034031034445993216,69672,0.005489381833069656,0.005489381833069656,0.3036712268536384,0.44921875,0
5,0.0005808065761812031,0.000057106396690850604,0.0003390348362621931,0.05091122254442517,73008,0.006859813724917424,0.006859813724917424,0.30636199892851623,0.44921875,0
6,0.0006107666849857196,0.000058934413256584296,0.0005061426308403012,0.07189343976415305,76462,0.008235831568893353,0.008235831568893353,0.30999786236583454,0.45703125,0
7,0.0005621910095214844,0.000059992414552131444,0.00071082615473517,0.09681368651383992,80128,0.009614378779024681,0.009614378779024681,0.31449784353437304,0.45703125,0
8,0.0006044394758646376,0.0000639614283177943,0.0009545905983036014,0.12289161459132265,83788,0.010995810562152517,0.010995810562152517,0.31982791238310737,0.46484375,0
9,0.0006279349327087402,0.0000693689652447237,0.0012408123658498756,0.14881126772530184,87623,0.012379690138019627,0.012379690138019627,0.3259392898074919,0.47265625,0
10,0.0008635367375973146,0.00007901659748827727,0.0015699495692433054,0.17304009888070818,91379,0.013765794010642995,0.013765794010642995,0.332735273313868,0.48046875,0
11,0.0008809156133793294,0.00007925766957473025,0.001944664250617083,0.1963412219669125,95260,0.015152861637604566,0.015152861637604566,0.3401805815026518,0.48828125,0
12,0.0009593252325430512,0.00008672167017885471,0.0023645316373262044,0.21853422207910694,99036,0.016538157574126276,0.016538157574126276,0.34823820589002147,0.49609375,0
13,0.001097166124964133,0.00009977257092388527,0.0028351233042973193,0.24116874195422824,103101,0.017919931447103556,0.017919931447103556,0.35690208279948493,0.50390625,0
14,0.0012463837520044763,0.0000923447063240859,0.003355417263922181,0.26382974995970576,107169,0.019299186435729587,0.019299186435729587,0.36615436738645435,0.51171875,0
15,0.0011138868576381356,0.00011205676968166141,0.00392947199174332,0.2870423223753238,111482,0.020675284931768602,0.020675284931768602,0.3759705115340667,0.52734375,0
16,0.0018452223448548466,0.00010816019575819277,0.004557743252011063,0.3108192379985677,116013,0.02204800257355318,0.02204800257355318,0.3863111473268542,0.53515625,0
17,0.00118255615234375,0.0001201456608775993,0.005240599485861773,0.3347096317239377,120703,0.023418898368161148,0.023418898368161148,0.3971363662880058,0.55078125,0
18,0.0013517552415578393,0.0001249315527742228,0.005981719169479007,0.3596720773024744,125755,0.024790342189134146,0.024790342189134146,0.4084091159041255,0.55859375,0
19,0.0015531373210251331,0.00013728459797277977,0.006775596761230438,0.3848408087670496,130949,0.026164592895546387,0.026164592895546387,0.42006999572093456,0.57421875,0
20,0.001745245092024561,0.00014075786163336414,0.007631608271517053,0.4126380649003319,136816,0.027546682418968297,0.027546682418968297,0.4320631754533745,0.58984375,0
21,0.0019104480743408203,0.0001487777306434832,0.00853979710349913,0.4412295089127727,142936,0.028940290820532785,0.028940290820532785,0.4443146373066879,0.59765625,0
22,0.001999974250793457,0.00016372364872040569,0.009496497253310188,0.4714071276416089,149377,0.03034283755348771,0.03034283755348771,0.45674686805217474,0.61328125,0
23,0.002278158674016595,0.0001620030561583866,0.010498836846625854,0.5033241536020289,156311,0.031756170082432714,0.031756170082432714,0.4692794577014848,0.62890625,0
24,0.0019025802612304688,0.00016468561755582427,0.01154377103444262,0.5365112455752319,163618,0.03317703756151306,0.03317703756151306,0.48184332062619,0.64453125,0
25,0.0005586147308349609,0.0000467544905634119,0.012620454428205757,0.5709594724301812,171160,0.03459709377617457,0.03459709377617457,0.49437735232273583,0.66015625,0
26,0.0023555755615234375,0.0001709205584574107,0.013713752153644097,0.6056127088098199,178490,0.03601311428226342,0.03601311428226342,0.506803818756055,0.67578125,0
